time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.011,0.00000,0.00000,0.00000
0.021,0.00000,0.00000,0.00000
0.031,0.00000,0.00000,0.00000
0.041,0.00000,0.00000,0.00000
0.051,0.00000,0.00000,0.00000
0.061,0.00000,0.00000,0.00000
0.072,0.00000,0.00000,0.00000
0.082,0.00000,0.00000,0.00000
0.092,0.00000,0.00000,0.00000
0.102,0.00000,0.00000,0.00000
0.112,0.00000,0.00000,0.00000
0.123,0.00000,0.00000,0.00000
0.133,0.00000,0.00000,0.00000
0.143,0.00000,0.00000,0.00000
0.153,0.00000,0.00000,0.00000
0.164,0.00000,0.00000,0.00000
0.174,0.00000,0.00000,0.00000
0.184,0.00000,0.00000,0.00000
0.195,0.00000,0.00000,0.00000
0.205,0.00000,0.00000,0.00000
0.215,0.00000,0.00000,0.00000
0.226,0.00000,0.00000,0.00000
0.236,0.00000,0.00000,0.00000
0.246,0.00000,0.00000,0.00000
0.257,0.00000,0.00000,0.00000
0.267,-0.20963,-1.83295,-0.22457
0.278,-0.53339,-1.01989,0.04116
0.288,-0.93351,0.16824,0.19388
0.298,-1.20534,1.11386,0.14989
0.309,-1.18396,1.84446,-0.04986
0.319,-0.92312,1.47733,-0.17570
0.330,-0.51385,0.74429,-0.30948
0.341,-0.04837,0.06379,-0.44203
0.351,0.72560,-0.88489,-0.66256
0.362,1.24545,-1.14084,-0.77435
0.373,1.76041,-0.47866,-0.87025
0.383,1.54966,-0.36687,-1.05718
0.393,1.06768,-0.43529,-1.26059
0.404,0.88931,-0.21538,-1.19584
0.414,1.05119,0.06195,-0.89346
0.425,1.59547,0.40282,-0.40660
0.435,1.96382,0.49322,-0.15248
0.445,2.39937,0.43947,-0.00404
0.456,2.61684,0.29775,-0.15004
0.466,2.39937,0.33623,-0.41455
0.477,1.94855,0.48711,-0.65095
0.488,1.37739,0.54393,-0.66500
0.498,0.94124,0.10960,-0.57398
0.509,0.64069,-0.43712,-0.36201
0.520,0.64313,-0.55563,-0.11034
0.531,0.85571,-0.26058,0.12912
0.541,1.01454,0.08089,0.16883
0.552,1.09334,-0.18667,0.22503
0.565,1.04447,-0.54464,0.26901
0.575,0.87648,-1.14512,0.26779
0.586,0.70911,-1.48720,0.24091
0.596,0.50996,-1.13412,0.23419
0.607,0.13856,-0.43224,0.15906
0.617,-0.22796,0.34539,0.13279
0.628,-0.39045,1.28307,0.25069
0.639,-0.19497,1.75038,0.45044
0.649,0.08541,1.27757,0.52985
0.660,0.59426,0.42175,0.44005
0.670,0.92596,0.24827,0.38324
0.681,1.36212,-0.15674,0.28062
0.691,1.80256,-0.92276,-0.02176
0.702,2.08661,-1.27706,-0.34491
0.712,2.32912,-1.58861,-0.65278
0.723,2.46168,-1.99972,-0.89224
0.733,2.51666,-2.53117,-1.08589
0.744,2.47023,-2.92029,-1.32412
0.754,2.29736,-2.78529,-1.63750
0.765,1.94550,-2.15060,-2.01135
0.775,1.55638,-1.98933,-2.29723
0.786,1.14588,-1.99666,-2.60267
0.796,0.82700,-1.72666,-2.88977
0.807,0.84228,-1.31799,-2.99179
0.818,1.18375,-1.08464,-2.62221
0.828,1.73353,-0.76210,-1.89223
0.839,2.25215,-0.16407,-0.79450
0.851,2.42381,-0.12497,0.61782
0.861,1.77446,-0.02907,1.52006
0.872,1.14099,-0.39925,1.26106
0.884,0.52463,-0.47378,0.59460
0.895,0.15872,-0.50615,0.05765
0.905,-0.11556,-0.42674,-0.20563
0.916,-0.25789,-0.04434,0.03200
0.927,-0.28538,0.33012,0.52130
0.937,-0.13022,0.66365,1.01121
0.948,0.68162,0.85669,1.37529
0.959,1.68222,0.19390,1.46264
0.970,3.08415,-0.30518,0.91531
0.981,3.70051,0.70703,0.28795
