time,X_value,Y_value,Z_value
0.000,0.55947,-0.43796,-0.06013
0.011,0.61567,-0.47339,-0.07967
0.022,0.64499,-0.48866,-0.09434
0.032,0.65110,-0.50882,-0.11449
0.042,0.64804,-0.54364,-0.14748
0.053,0.57474,-0.54486,-0.18658
0.064,0.52281,-0.54792,-0.22445
0.074,0.44951,-0.53509,-0.25683
0.085,0.36521,-0.43979,-0.24522
0.095,0.30229,-0.34816,-0.22017
0.105,0.19050,-0.21072,-0.16581
0.116,0.11231,-0.11054,-0.12182
0.126,0.04878,-0.04212,-0.08639
0.136,0.00419,-0.00608,-0.06746
0.147,-0.01841,0.00369,-0.06440
0.157,-0.04835,0.00614,-0.06990
0.167,-0.07400,0.00919,-0.07418
0.178,-0.07767,0.01347,-0.07601
0.188,-0.07706,0.03240,-0.07601
0.198,-0.07339,0.05684,-0.07662
0.209,-0.05690,0.13198,-0.08334
0.219,-0.01291,0.18023,-0.09372
0.229,0.00541,0.23032,-0.10105
0.240,0.03901,0.28408,-0.11022
0.250,0.04817,0.31951,-0.11694
0.261,0.04634,0.34150,-0.12182
0.271,0.06100,0.34700,-0.12488
0.281,0.04939,0.35250,-0.12244
0.292,0.05306,0.35983,-0.10900
0.302,0.04451,0.36838,-0.09495
0.313,0.03473,0.37693,-0.06379
0.323,0.02557,0.37510,-0.03508
0.334,0.02068,0.36166,-0.00576
0.344,0.01457,0.34700,0.02662
0.355,0.00663,0.33112,0.04739
0.365,0.00113,0.30790,0.07793
0.375,0.01274,0.28286,0.10175
0.386,0.02557,0.24499,0.11641
0.396,0.03657,0.18634,0.13046
0.407,0.03534,0.10632,0.15490
0.417,0.01885,0.08188,0.16650
0.427,-0.08622,0.02080,0.20560
0.438,-0.15891,-0.02013,0.22393
0.448,-0.22916,-0.06594,0.22454
0.458,-0.30063,-0.10809,0.20804
0.469,-0.33728,-0.16857,0.16956
0.479,-0.30185,-0.22538,0.13718
0.489,-0.24749,-0.25470,0.10542
0.500,-0.15097,-0.26509,0.07304
0.510,-0.01963,-0.28280,0.05716
0.520,0.09276,-0.30235,0.05472
0.531,0.24059,-0.35061,0.04922
0.541,0.32245,-0.37810,0.03639
0.551,0.43485,-0.42330,0.01990
0.562,0.48616,-0.46423,0.01073
0.572,0.53809,-0.53326,0.01257
0.582,0.54969,-0.57907,0.01318
0.593,0.54664,-0.63344,0.00401
0.603,0.53870,-0.70613,-0.02042
0.613,0.53992,-0.81731,-0.07418
0.624,0.56252,-0.91505,-0.13893
0.634,0.61200,-0.97308,-0.21773
0.645,0.67797,-0.96880,-0.28981
0.655,0.72257,-0.91627,-0.33685
0.665,0.74273,-0.85763,-0.36128
0.676,0.71768,-0.84602,-0.39916
0.686,0.63216,-0.89855,-0.49445
0.696,0.48128,-0.99018,-0.66611
0.707,0.22227,-0.86068,-0.68382
0.717,0.06894,-0.58335,-0.49445
0.727,-0.15402,0.05501,-0.08395
0.738,-0.25909,0.40992,0.15917
0.748,-0.28597,0.57913,0.26913
0.758,-0.31896,0.69458,0.29540
0.768,-0.43197,0.68542,0.25508
0.779,-0.57980,0.58341,0.19338
0.789,-0.75817,0.47345,0.12680
0.799,-0.91394,0.39404,0.05716
0.810,-1.01473,0.36777,-0.01981
0.820,-1.07704,0.42275,-0.10228
0.830,-1.11675,0.55286,-0.18047
0.841,-1.12225,0.66893,-0.24400
0.851,-1.13263,0.76911,-0.27454
0.861,-1.15157,0.83264,-0.26965
0.872,-1.16684,0.88762,-0.21345
0.882,-1.17356,0.98352,-0.10777
0.892,-1.15768,1.12830,0.01929
0.903,-1.13507,1.34821,0.28135
0.913,-1.04406,1.55468,0.55624
0.923,-0.97258,1.60966,0.67902
0.934,-1.00557,1.57789,0.66741
0.945,-1.10942,1.61088,0.57517
0.955,-1.33483,1.60233,0.38825
0.965,-1.50587,1.54063,0.25813
0.976,-1.59383,1.26147,0.03578
0.986,-1.57306,0.84913,-0.08823
0.996,-1.52664,0.31096,-0.14259
1.007,-1.42035,-0.22843,-0.22506
1.017,-1.33910,-0.64321,-0.36006
1.027,-1.38797,-1.15206,-0.65083
1.038,-1.30062,-1.56745,-1.27636
1.048,-0.93899,-1.58578,-2.06804
1.058,-0.42403,-1.32433,-2.70151
1.069,-0.16197,-1.31211,-2.69418
1.079,-0.05140,-1.60594,-2.26657
1.090,-0.00986,-1.46422,-1.64715
1.100,-0.00192,-0.91016,-0.78645
1.110,-0.08255,-0.02013,0.15978
1.121,-0.15830,0.86562,0.67108
1.131,-0.10454,1.26147,0.76882
1.142,0.16668,0.48444,0.32227
1.152,0.63888,-0.84358,-0.38633
1.162,0.90888,-0.23271,-0.22750
1.173,1.82212,-0.75867,0.28379
1.183,3.21062,-2.54056,0.58434
1.194,3.12082,-4.33040,0.96674
1.204,2.06647,-3.04025,0.62038
1.215,0.54664,1.07149,0.28318
1.225,-0.42525,2.52657,0.51164
1.235,-0.90050,2.60048,0.50431
1.246,-0.88279,1.99145,0.22881
1.256,-0.46496,0.93954,-0.15359
1.266,0.02435,0.08250,-0.40649
1.277,0.23876,-0.07572,-0.44558
1.287,0.25648,0.15213,-0.36922
1.298,0.14102,0.48567,-0.19452
1.308,-0.00436,0.81981,0.03700
1.318,-0.10088,0.99452,0.15184
1.329,-0.10149,1.10569,0.18422
1.339,-0.07095,1.11547,0.18911
1.350,-0.05201,1.05316,0.22270
1.360,-0.09477,0.97008,0.31678
1.370,-0.15525,0.76056,0.53852
1.381,-0.11065,0.64144,0.64542
