time,X_value,Y_value,Z_value
0.00000,0.00000,0.00000,0.00000
0.01000,0.00000,0.00000,0.00000
0.02000,0.00000,0.00000,0.00000
0.03100,0.00000,0.00000,0.00000
0.04100,0.00000,0.00000,0.00000
0.05100,0.00000,0.00000,0.00000
0.06100,0.00000,0.00000,0.00000
0.07100,0.00000,0.00000,0.00000
0.08200,0.00000,0.00000,0.00000
0.09200,0.00000,0.00000,0.00000
0.10200,0.00000,0.00000,0.00000
0.11300,0.00000,0.00000,0.00000
0.12300,0.00000,0.00000,0.00000
0.13300,0.00000,0.00000,0.00000
0.14300,0.00000,0.00000,0.00000
0.15400,0.00000,0.00000,0.00000
0.16400,0.00000,0.00000,0.00000
0.17400,0.00000,0.00000,0.00000
0.18500,0.00000,0.00000,0.00000
0.19500,0.00000,0.00000,0.00000
0.20600,0.00000,0.00000,0.00000
0.21700,0.00000,0.00000,0.00000
0.22700,0.00000,0.00000,0.00000
0.23800,0.00000,0.00000,0.00000
0.24800,0.00000,0.00000,0.00000
0.25900,0.00000,0.00000,0.00000
0.27200,0.97312,-1.72580,1.16522
0.28300,1.92118,-1.42220,1.07481
0.29400,2.29197,-1.08194,0.97891
0.30600,2.71042,-0.67022,0.88056
0.31600,3.50515,0.25646,0.82252
0.32700,3.99812,0.40124,0.72784
0.33800,4.29806,-0.35868,0.51282
0.34900,4.19604,-1.67815,-0.45602
0.36000,3.81303,-2.78015,-1.46639
0.37100,3.51187,-3.64758,-1.83657
0.38200,3.26386,-3.80823,-1.89094
0.39300,3.07449,-2.89866,-1.91415
0.40500,2.77395,-0.99887,-1.57268
0.41600,2.55281,-0.14488,-0.92211
0.42600,2.37811,-0.43748,-0.37294
0.43700,2.31885,-1.67448,0.00274
0.44700,2.43797,-2.49610,0.04245
0.45800,2.94438,-2.79481,0.06688
0.46900,3.27363,-1.97258,0.19150
0.47900,3.14902,-1.36172,0.47128
0.49000,2.78678,-1.25237,0.73089
0.50000,2.36772,-1.29697,0.88239
0.51100,2.20584,-1.15097,0.96058
0.52100,2.21134,-1.96709,1.21714
0.53200,2.22356,-2.74594,1.60016
