time,X_value,Y_value,Z_value
0.00000,0.17105,-0.00438,0.08582
0.01000,0.18021,-0.01293,0.07055
0.02100,0.18327,-0.00926,0.05283
0.03100,0.17838,0.00723,0.04001
0.04100,0.18388,0.01395,0.03390
0.05200,0.21137,-0.01171,0.03084
0.06200,0.27184,-0.06119,0.03145
0.07300,0.32254,-0.11617,0.02718
0.08300,0.36286,-0.15709,0.01924
0.09300,0.38913,-0.17847,0.00274
0.10300,0.37936,-0.17725,-0.02047
0.11400,0.35187,-0.17481,-0.03024
0.12400,0.28711,-0.15465,-0.03574
0.13400,0.24802,-0.13449,-0.03208
0.14500,0.20709,-0.10089,-0.02291
0.15500,0.18449,-0.06730,-0.01192
0.16600,0.16433,0.00173,-0.00459
0.17600,0.15334,0.05182,-0.00398
0.18600,0.12829,0.14040,-0.00642
0.19700,0.09714,0.21615,-0.01375
0.20700,0.05254,0.27906,-0.02047
0.21700,0.00978,0.33771,-0.03269
0.22700,-0.02626,0.40246,-0.04368
0.23800,-0.05192,0.45927,-0.05162
0.24800,-0.06474,0.52219,-0.05956
0.25800,-0.07391,0.56923,-0.06690
0.26900,-0.09162,0.61443,-0.06995
0.27900,-0.11300,0.65291,-0.07239
0.28900,-0.12339,0.68040,-0.07300
0.30000,-0.11972,0.70545,-0.08278
0.31000,-0.13133,0.71950,-0.08400
0.32000,-0.14660,0.72255,-0.07850
0.33100,-0.15760,0.72011,-0.07300
0.34100,-0.16370,0.70728,-0.06567
0.35100,-0.15760,0.70606,-0.06201
0.36200,-0.14721,0.70667,-0.04796
0.37200,-0.14599,0.71705,-0.02413
0.38300,-0.15149,0.73782,-0.00092
0.39300,-0.15821,0.75737,0.02412
0.40300,-0.15943,0.78914,0.05039
0.41400,-0.15026,0.80319,0.07544
0.42400,-0.12278,0.81296,0.10109
0.43400,-0.07879,0.83556,0.11698
0.44500,-0.02870,0.84839,0.14080
0.45500,0.02322,0.85022,0.15118
0.46600,0.04704,0.84534,0.15057
0.47600,0.05743,0.83984,0.15057
0.48600,0.05804,0.81296,0.14263
0.49700,0.05010,0.78730,0.13713
0.50700,0.06048,0.75798,0.13530
