time,X_value,Y_value,Z_value
0.00000,0.29620,-1.55310,0.28505
0.01000,0.30353,-1.64534,0.30521
0.02100,0.31392,-1.72476,0.32414
0.03100,0.31269,-1.78707,0.34674
0.04200,0.31758,-1.82616,0.36690
0.05200,0.33285,-1.80600,0.37973
0.06300,0.34507,-1.74369,0.38889
0.07300,0.39211,-1.55616,0.39134
0.08300,0.42448,-1.39061,0.37912
0.09400,0.45930,-1.23851,0.37057
0.10400,0.49473,-1.08518,0.35408
0.11500,0.51733,-0.95446,0.33819
0.12500,0.54421,-0.82862,0.31559
0.13500,0.56865,-0.67346,0.27894
0.14600,0.58270,-0.56289,0.25267
0.15600,0.59247,-0.45904,0.23373
0.16600,0.60957,-0.35825,0.22213
0.17700,0.62668,-0.28250,0.23007
0.18700,0.63523,-0.20798,0.24595
0.19700,0.64500,-0.14567,0.27222
0.20700,0.65783,-0.06992,0.30643
0.21800,0.65234,-0.01067,0.33392
0.22800,0.64928,0.04797,0.34797
0.23900,0.63095,0.10234,0.35224
0.24900,0.62179,0.15060,0.34736
0.25900,0.61690,0.18481,0.33025
0.27000,0.60285,0.18725,0.31987
0.28000,0.59247,0.19214,0.30521
0.29000,0.58514,0.19825,0.28138
0.30100,0.58392,0.18969,0.26550
0.31100,0.56987,0.18359,0.24962
0.32100,0.54727,0.18725,0.24168
0.33200,0.50634,0.20497,0.23557
0.34300,0.46602,0.21902,0.22946
0.35300,0.41349,0.24040,0.21235
0.36300,0.36523,0.25689,0.18670
0.37400,0.32186,0.22879,0.16410
0.38400,0.26382,0.20558,0.13294
0.39500,0.21496,0.17931,0.09934
0.40600,0.18197,0.11944,0.06514
0.41600,0.19541,0.06263,0.03032
0.42700,0.22290,0.01499,0.00771
0.43700,0.20946,-0.00823,-0.00634
0.44700,0.15265,-0.04060,-0.02405
0.45700,0.09217,-0.11513,-0.04543
0.46800,0.05613,-0.25257,-0.07842
0.47800,0.07385,-0.42423,-0.10896
0.48900,0.15570,-0.59282,-0.13217
0.49900,0.19480,-0.68812,-0.14317
0.51000,0.24244,-0.85611,-0.15844
0.52000,0.28276,-0.95629,-0.15294
0.53000,0.32430,-1.01615,-0.13401
0.54100,0.38111,-1.03509,-0.10407
0.55200,0.46724,-1.04059,-0.05826
0.56200,0.50145,-1.03204,-0.02283
0.57300,0.52405,-1.00821,0.00466
0.58300,0.53444,-0.98317,0.02421
0.59500,0.50817,-0.97889,0.03093
0.60500,0.46541,-0.99172,0.02604
0.61600,0.41776,-0.99722,0.01199
0.62600,0.38661,-0.98683,0.00588
0.63600,0.34263,-0.93430,-0.00206
0.64700,0.30231,-0.87871,-0.00023
0.65700,0.25283,-0.79930,-0.00267
0.66700,0.17891,-0.70461,-0.00450
0.67800,0.07201,-0.60687,-0.00511
0.68800,-0.02939,-0.52807,-0.01061
0.69800,-0.10758,-0.46393,-0.00939
0.70900,-0.16378,-0.41018,-0.00450
0.71900,-0.19066,-0.39613,-0.00084
0.72900,-0.23831,-0.39124,0.00344
0.74000,-0.29573,-0.37658,0.00222
0.75000,-0.33788,-0.34420,-0.00511
0.76000,-0.40568,-0.29594,-0.01428
0.77100,-0.47471,-0.24646,-0.02588
0.78100,-0.52358,-0.19759,-0.03688
0.79100,-0.60483,-0.13406,-0.05643
0.80200,-0.63842,-0.09130,-0.06498
0.81200,-0.63964,-0.04121,-0.08086
0.82200,-0.59444,-0.01433,-0.07781
0.83300,-0.50464,-0.00395,-0.08025
0.84400,-0.41485,-0.00028,-0.07231
0.85500,-0.37086,0.01071,-0.06987
0.86500,-0.40874,0.02782,-0.06559
0.87500,-0.46738,0.05714,-0.05887
0.88600,-0.51503,0.07730,-0.03810
0.89600,-0.52480,0.07791,-0.01550
0.90600,-0.48754,0.06691,0.00649
0.91700,-0.44295,0.05653,0.02421
0.92700,-0.38125,0.05347,0.05048
0.93700,-0.34582,0.05958,0.06758
0.94800,-0.31222,0.06813,0.09324
0.95800,-0.28718,0.07791,0.11462
0.96800,-0.27251,0.08829,0.13111
0.97900,-0.26702,0.09501,0.14516
0.98900,-0.27313,0.08035,0.16287
0.99900,-0.26702,0.06569,0.17326
1.01000,-0.26091,0.07730,0.19159
1.02000,-0.25297,0.10906,0.20625
1.03100,-0.25236,0.14754,0.21297
1.04100,-0.24442,0.17931,0.20686
1.05100,-0.22365,0.16037,0.20319
1.06100,-0.19677,0.11944,0.19464
1.07200,-0.19921,0.07913,0.18181
1.08200,-0.22365,0.05103,0.17265
1.09200,-0.24380,0.04797,0.15677
1.10300,-0.24686,0.06447,0.14210
1.11300,-0.23647,0.08035,0.12744
1.12300,-0.19738,0.06996,0.11156
1.13400,-0.17539,0.02110,0.09507
1.14400,-0.17722,-0.02289,0.08774
1.15400,-0.18699,-0.05771,0.08041
1.16500,-0.21143,-0.06504,0.07919
1.17500,-0.21632,-0.05404,0.06514
1.18500,-0.23037,-0.06381,0.06758
1.19600,-0.23831,-0.05160,0.07735
1.20600,-0.23708,-0.03510,0.09629
1.21600,-0.20410,-0.03877,0.10667
1.22700,-0.12652,-0.05221,0.11828
1.23700,-0.09231,-0.09253,0.12561
1.24700,-0.14668,-0.12368,0.12378
1.25800,-0.19371,-0.10963,0.10973
1.26800,-0.21998,-0.08031,0.09018
1.27800,-0.21570,-0.04488,0.06697
1.28900,-0.20593,-0.00823,0.02726
1.29900,-0.17355,0.00521,-0.00145
1.31000,-0.10819,-0.00273,-0.01855
1.32000,-0.05749,0.00338,-0.01977
1.33000,-0.02450,0.00033,-0.00878
1.34100,-0.02023,0.02843,-0.00267
1.35100,-0.03855,0.05897,0.00466
1.36100,-0.06726,0.07791,0.00100
1.37100,-0.09292,0.07546,-0.01733
1.38200,-0.11613,0.06325,-0.03810
1.39200,-0.11797,0.03942,-0.06681
1.40300,-0.11736,0.03698,-0.07414
1.41300,-0.12102,0.04003,-0.07658
1.42300,-0.10514,0.05164,-0.07231
1.43400,-0.09781,0.05286,-0.07658
1.44400,-0.09414,0.06019,-0.07781
1.45500,-0.07765,0.07852,-0.09797
