time,X_value,Y_value,Z_value
0.0000,0.00000,0.00000,0.00000
0.0177,-2.41582,3.03115,10.17806
0.0780,-1.81007,3.29692,8.38236
0.1379,-1.95852,3.11256,9.36640
0.1975,-1.86035,3.24664,9.13655
0.2579,-1.85556,3.34001,9.11740
0.3177,-1.77176,3.26819,9.02642
0.3790,-1.76697,3.22988,9.07191
0.4379,-1.75740,3.32086,9.39992
0.4980,-1.71191,3.32325,9.08388
0.5581,-1.64966,3.18439,9.04318
0.6191,-1.87711,3.34001,9.27303
0.6780,-1.81247,3.22748,9.08627
0.7378,-1.77416,3.35438,8.98571
0.7993,-1.77655,3.23706,9.07191
0.8588,-1.86514,3.15805,9.19880
0.9188,-2.16442,3.47649,9.03839
0.9797,-2.05668,3.30170,9.05275
1.0376,-2.06865,3.45254,8.95459
1.0989,-2.04950,3.29692,9.10782
1.1590,-2.00161,3.30649,9.10782
1.2168,-1.91781,3.36635,9.07191
1.2786,-1.93936,3.32565,9.39035
1.3396,-2.06626,3.58902,9.03839
1.3985,-1.92739,3.68958,8.68164
1.4607,-1.81725,3.70155,7.84604
1.5189,-2.11893,3.74704,9.36880
1.6277,-2.32724,3.19636,8.80375
1.6883,-2.30808,3.21072,8.72234
1.7488,-2.25301,3.09580,8.99768
1.8087,-2.15485,3.18199,8.36320
1.8682,-2.41343,2.76778,9.30415
1.9289,-2.59300,2.97608,9.46936
1.9885,-2.61215,2.91862,9.27303
2.0481,-2.30329,2.43498,9.17247
2.1083,-2.15006,2.43019,8.81333
2.1693,-1.94655,2.17161,9.16050
2.2297,-1.76219,2.43737,9.69921
2.2895,-1.79331,2.66962,10.04638
2.3485,-1.56107,2.76060,10.22595
2.4085,-1.39347,3.59381,9.51245
2.4707,-0.17718,2.00401,11.12141
2.5269,0.64645,2.56906,12.94584
2.5909,0.03831,2.71032,14.94985
2.6496,1.49642,3.64648,13.25949
2.7095,1.21869,4.22111,8.91867
2.7693,0.72068,4.65926,7.68562
2.8297,0.24422,4.64489,5.62415
2.8893,0.05986,3.99844,1.86993
2.9503,0.00479,4.12294,-1.10137
3.0093,-0.55547,7.78139,-0.50280
3.0705,0.73983,9.06233,1.69515
3.1282,0.93616,8.95459,3.34480
3.1914,0.58420,8.08068,3.39748
3.2495,0.88349,6.64890,4.08703
3.3101,0.93137,7.34324,5.66725
3.3706,0.25379,6.05033,5.89231
3.4289,0.73504,6.40947,8.24588
3.4894,0.32323,5.36078,7.24986
3.5493,0.12450,5.84682,8.79417
3.6079,1.14207,4.76461,8.63615
3.6700,-0.48125,5.17882,9.59146
3.7282,0.46210,3.98407,11.20760
3.7898,-0.45252,4.84841,11.09028
3.8487,-0.49083,5.16206,11.90433
3.9109,-0.33041,4.47011,10.36003
3.9697,-0.02155,4.10379,10.75029
4.0302,-0.06225,4.92023,10.51805
4.0891,-0.20351,4.99925,9.65132
4.1490,-0.53871,4.65926,8.15251
4.2097,0.78532,5.71753,8.79417
4.2697,0.63688,5.51880,6.24427
4.3286,0.84757,6.61299,7.68083
4.3906,0.54111,6.47172,6.26582
4.4496,0.17957,6.70876,6.43102
4.5104,0.70152,6.99368,5.75105
4.5696,1.01278,7.42465,6.27779
4.6299,1.16122,7.51084,5.20994
4.6897,0.91940,7.56112,5.27219
4.7503,0.93377,7.68562,4.15167
4.8082,1.00560,7.85322,4.79094
4.8695,0.96250,7.98970,5.08305
4.9301,0.97447,7.99927,5.28177
4.9901,0.92180,8.04476,5.16206
5.0485,0.86673,8.03040,5.50683
5.1111,0.89306,8.14772,5.62176
5.1687,0.81645,8.09744,5.20276
5.2297,0.60096,7.91547,4.53236
5.2896,1.01278,8.04955,5.81569
5.3479,0.87630,8.35362,5.93301
5.4091,0.72307,8.13814,5.82048
5.4707,0.72307,7.92505,4.84841
5.5294,0.72547,7.91308,4.93939
5.5892,0.71349,8.16927,5.90907
5.6496,0.58420,8.17884,6.03836
5.7089,0.75180,8.07349,5.71753
5.7693,0.65364,7.94420,5.17642
5.8314,0.60575,7.99209,5.36557
5.8867,0.74462,8.02561,5.62655
5.9484,0.62969,8.08786,5.65049
6.0070,0.61293,8.08547,5.50204
6.0688,0.60336,7.98970,5.03995
6.1279,0.59857,7.81970,4.32885
6.1897,0.37590,7.32888,2.81088
6.2500,0.53632,6.77340,3.09819
6.3089,0.25858,6.31610,4.55870
6.3693,0.11971,5.88034,6.26342
6.4308,-0.01676,4.70954,6.25145
6.4898,0.52435,3.99126,9.08388
6.5505,0.03591,3.49085,10.56594
6.6075,0.35675,3.34480,14.20523
6.6704,-0.58420,3.76141,12.99852
6.7296,-0.91222,3.88591,13.73356
6.7890,-0.45731,3.16523,11.40154
6.8495,-0.36872,3.30649,11.54519
6.9087,-0.15084,3.64409,10.53720
6.9697,-0.00479,3.99365,9.78780
7.0300,0.13408,4.31927,9.23711
7.0882,0.29450,4.67602,8.08786
7.1501,0.37830,4.97291,7.04156
7.2088,0.55787,5.74626,6.73510
7.2695,0.37830,6.25145,5.19558
7.3288,0.34717,6.92664,4.87953
7.3897,0.33759,7.31451,5.41346
7.4504,0.78532,7.60901,4.28815
7.5098,0.60815,7.69280,3.42381
7.5691,0.55308,7.68802,2.98087
7.6289,0.46928,7.52999,4.01999
7.6887,0.66082,7.29775,4.66165
7.7514,0.36632,7.32169,5.95217
7.8074,0.31604,6.18920,5.60021
7.8702,0.88109,6.28737,6.04794
7.9296,-0.11253,5.80612,7.06072
7.9899,-0.40942,5.76063,8.36799
8.0511,-0.47646,4.86038,7.99448
8.1100,-0.33280,4.72151,8.92346
8.1699,-0.12690,4.46772,9.46936
8.2304,-0.34238,4.67602,11.42787
8.2874,-0.84997,4.75264,10.83170
8.3503,-1.13728,4.78376,11.62420
8.4100,-0.75420,4.49884,11.05676
8.4698,-0.65843,4.45575,10.89874
8.5297,-0.38069,4.49405,9.98891
8.5896,-0.59617,4.49884,9.68005
8.6496,-0.18915,4.82925,8.41827
8.7101,0.14366,5.20515,8.89713
8.7705,0.53871,5.44937,8.13096
8.8296,0.52674,5.62894,7.93942
8.8881,0.31604,6.11258,7.07029
8.9498,0.73983,6.55552,6.17483
9.0085,0.95532,6.65848,4.74545
9.0690,0.85954,7.34563,3.78774
9.1294,0.94095,7.72633,3.73028
9.1923,0.95771,7.92266,3.35677
9.2487,0.78053,7.97054,3.74704
9.3102,0.93856,7.91787,3.55310
9.3694,0.71349,7.58506,3.66085
9.4300,0.86673,7.26184,4.19716
9.4896,0.68716,7.27620,6.04315
9.5501,0.46688,6.38553,5.90189
9.6088,-0.11732,6.64651,8.19321
9.6704,0.50040,5.88992,6.29934
9.7293,-0.52195,5.71753,8.15251
9.7896,-0.39984,4.58264,7.24268
9.8491,-0.69673,4.67841,8.88994
9.9092,-1.14446,3.78535,9.34007
9.9694,-0.89067,4.45335,11.60505
10.0291,-1.35516,4.11576,11.29858
10.0889,-1.73106,4.51800,11.96898
10.1495,-1.97767,4.14688,10.80536
10.2089,-1.75261,4.32645,11.17169
10.2697,-1.44375,4.18040,9.75428
10.3296,-1.01278,4.48448,9.72794
10.3902,-0.88109,4.59701,8.66009
10.4502,-0.66082,4.86517,9.17247
10.5097,-0.40463,5.08305,8.45897
10.5692,-0.24422,5.54993,8.75826
10.6283,0.10295,5.52359,6.87636
10.6894,-0.09817,6.00963,6.84523
10.7498,0.00479,6.31849,5.35360
10.8080,-0.11493,6.92424,5.94259
10.8690,0.53871,7.42704,4.82925
10.9290,0.36393,7.41267,4.10858
10.9910,0.35675,7.55154,4.35758
11.0493,0.28492,7.75745,5.34642
11.1114,0.20830,7.77182,6.05033
11.1691,0.22985,7.81012,6.41187
11.2277,0.14126,7.67365,5.77499
11.2893,0.24900,7.77421,5.96893
11.3500,0.14126,7.87716,6.45975
11.4076,0.20112,7.75745,5.85400
11.4703,0.19633,7.76942,5.98569
11.5284,0.24422,7.79097,5.93301
11.5896,0.01915,7.79576,5.36557
11.6497,0.02155,7.92505,5.96893
11.7092,0.11971,7.78858,5.39909
11.7687,0.09577,7.85322,6.09582
11.8323,0.05507,7.81970,5.65288
11.8890,0.06465,7.64731,5.67443
11.9491,0.29689,7.83886,6.10061
12.0095,0.17478,7.83646,6.46933
12.0698,0.21548,7.76703,5.90668
12.1292,0.24900,7.71435,5.98569
12.1900,0.26816,7.68802,5.83006
12.2485,0.25379,7.76224,5.88992
12.3104,0.27774,7.84364,6.26103
12.3682,0.29689,7.69041,5.65288
12.4278,0.18196,7.68083,5.78457
12.4894,0.33999,7.62816,5.46374
12.5482,0.31604,7.54436,5.09262
12.6069,0.22506,7.32409,5.01840
12.6689,0.52913,7.23789,5.96653
12.7293,0.27774,7.14212,6.38793
12.7893,0.10295,6.97452,7.13015
12.8488,-0.00718,6.61538,7.02720
12.9110,0.03591,6.72552,7.52760
12.9698,-0.39984,6.28976,7.24268
13.0305,-0.38069,6.52919,8.42066
13.0887,-0.56505,6.55792,8.80135
13.1526,-0.51716,6.47891,8.65291
13.2091,-0.55068,6.23230,7.93702
13.2685,-0.45970,6.11498,7.49647
13.3298,-0.50519,6.24187,7.62577
13.3900,-0.45252,6.20596,7.57549
13.4483,-0.56744,6.35441,7.68083
13.5103,-0.51716,6.19159,7.39352
13.5681,-0.46449,6.19878,7.39113
13.6307,-0.58899,6.18920,7.56830
13.6873,-0.58660,6.16286,7.42465
13.7498,-0.58899,6.22272,7.61140
13.8088,-0.53392,6.20596,7.66168
13.8692,-0.51716,6.19399,7.47014
13.9293,-0.62969,6.20117,7.60182
13.9896,-0.58420,6.17962,7.53718
14.0486,-0.55308,6.13653,7.49647
14.1099,-0.61533,6.27779,7.62098
14.1695,-0.60575,6.16526,7.42465
14.2295,-0.53632,6.29455,7.27860
14.2886,-0.30407,6.34483,6.94579
14.3501,-0.45012,5.57148,5.99048
14.4083,-0.83081,4.39110,5.87076
14.4693,-1.09179,4.53955,5.79175
14.5294,-1.47248,5.41585,8.06631
14.5895,-1.41262,4.83644,8.48531
14.6496,-1.27854,5.11657,10.48932
14.7102,0.32323,4.26420,12.94584
14.7683,-0.16281,5.99287,9.05036
14.8288,-1.77416,7.30493,9.48612
14.8883,1.40065,4.31448,8.58587
14.9492,-0.01197,3.56508,6.48130
15.0070,0.30168,5.65528,8.15490
15.0697,-0.20112,3.98647,9.11022
15.1291,-0.38069,4.01999,9.01923
15.1898,-1.66881,3.27776,10.70480
15.2491,-1.37192,3.04073,9.76146
15.3073,-1.19474,2.82524,8.98332
15.3697,0.26337,1.86993,8.47813
15.4294,0.03352,2.45413,10.34087
15.4888,-0.15563,3.30170,10.64255
15.5500,0.35914,1.21390,7.24747
15.6081,-0.76856,3.73028,9.92906
15.6700,-0.94574,3.81408,9.73752
15.7289,-1.45332,4.34321,8.73192
15.7885,-1.74782,4.00323,8.49010
15.8498,-1.79092,4.16364,7.87477
15.9083,-3.22030,5.40867,9.70400
15.9699,-1.62092,4.84601,8.90910
16.0300,-1.47008,4.56828,8.94501
16.0894,-0.75659,4.83644,7.80294
16.1501,0.12450,5.78696,9.94821
16.2082,0.05028,4.65926,6.99128
16.2686,-0.97208,2.97130,7.26662
16.3298,-1.36474,3.83802,10.44143
16.3891,-0.40224,1.95852,9.78301
16.4484,-1.62811,4.18519,9.51485
16.5090,-1.10615,4.32885,9.37837
16.5691,-1.40544,2.93778,8.66967
16.6303,-2.06626,2.70792,8.21236
16.6892,-2.83482,2.33921,7.96336
16.7496,-4.32645,3.25861,9.78301
16.8081,-4.75982,3.97689,9.89554
16.8698,-2.43258,4.94178,8.67206
16.9295,-0.73504,4.22350,6.52679
16.9894,-0.14845,3.33522,7.43183
17.0502,-0.24182,3.80211,6.28258
17.1089,3.72070,-1.22826,12.40474
17.1684,2.52117,4.37913,17.83016
17.2302,0.64167,-0.13169,25.49903
17.2880,-1.44614,1.23545,17.78707
17.3509,-0.89785,0.16281,9.65132
17.4079,0.16520,1.07264,6.03597
17.4692,0.95292,0.36632,6.67045
17.5289,0.40703,-0.79490,5.58345
17.5895,-1.00081,0.05028,4.60419
17.6488,-2.92102,2.81806,3.54353
17.7094,-3.04073,2.71271,4.31448
17.7688,-4.01280,4.26181,8.40151
17.8296,-4.10858,5.60500,8.38475
