time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.010,0.00000,0.00000,0.00000
0.020,0.00000,0.00000,0.00000
0.030,0.00000,0.00000,0.00000
0.040,0.00000,0.00000,0.00000
0.050,0.00000,0.00000,0.00000
0.061,0.00000,0.00000,0.00000
0.071,0.00000,0.00000,0.00000
0.081,0.00000,0.00000,0.00000
0.091,0.00000,0.00000,0.00000
0.101,0.00000,0.00000,0.00000
0.112,0.00000,0.00000,0.00000
0.122,0.00000,0.00000,0.00000
0.132,0.00000,0.00000,0.00000
0.142,0.00000,0.00000,0.00000
0.153,0.00000,0.00000,0.00000
0.163,0.00000,0.00000,0.00000
0.176,0.00000,0.00000,0.00000
0.186,0.00000,0.00000,0.00000
0.196,0.00000,0.00000,0.00000
0.207,0.00000,0.00000,0.00000
0.217,0.00000,0.00000,0.00000
0.227,0.00000,0.00000,0.00000
0.237,0.00000,0.00000,0.00000
0.247,0.00000,0.00000,0.00000
0.257,0.00000,0.00000,0.00000
0.267,0.00000,0.00000,0.00000
0.278,-0.00323,-0.11133,-0.17128
0.288,-0.02461,-0.08139,-0.19571
0.298,-0.03683,-0.05879,-0.21404
0.308,-0.02583,-0.06124,-0.20732
0.318,0.00532,-0.10827,-0.19266
0.329,0.02976,-0.18341,-0.16273
0.339,0.03403,-0.22189,-0.10836
0.349,-0.00751,-0.19929,-0.06010
0.359,-0.04905,-0.16264,-0.01795
0.369,-0.08570,-0.13576,0.00648
0.379,-0.10402,-0.10705,0.02603
0.390,-0.09547,-0.11499,0.03153
0.400,-0.04294,-0.13393,0.02847
0.410,0.02670,-0.14737,0.02542
0.420,0.10611,-0.17913,0.02053
0.430,0.16903,-0.21762,0.00709
0.440,0.21057,-0.24572,-0.00268
0.450,0.21729,-0.26282,-0.00818
0.461,0.20385,-0.26282,-0.00146
0.471,0.17270,-0.24511,0.00893
0.481,0.14643,-0.22189,0.01503
0.491,0.14093,-0.20784,0.02053
0.501,0.16293,-0.20723,0.03031
0.511,0.19164,-0.22800,0.04191
0.521,0.20813,-0.23167,0.04924
0.532,0.18125,-0.21456,0.05779
0.542,0.12139,-0.19135,0.06451
0.552,0.04808,-0.17730,0.03947
0.562,-0.01606,-0.15775,0.00831
0.572,-0.06065,-0.15164,-0.01429
0.582,-0.08936,-0.15287,-0.03628
0.593,-0.10158,-0.14431,-0.05277
0.603,-0.08692,-0.11377,-0.05216
0.613,-0.05210,-0.09361,-0.05338
0.623,-0.01239,-0.10339,-0.04727
0.633,0.00043,-0.13026,-0.03933
0.643,0.00838,-0.15531,-0.03322
0.654,0.00532,-0.15775,-0.03628
0.664,-0.01178,-0.17852,-0.03811
0.674,-0.01606,-0.16936,-0.03689
0.684,0.01510,-0.12477,-0.01795
0.694,0.04258,-0.11010,0.00098
0.704,0.07496,-0.12721,0.00831
0.715,0.09878,-0.13698,-0.00085
0.725,0.10123,-0.13271,-0.01245
0.735,0.07374,-0.12354,-0.02284
0.745,0.02609,-0.09728,-0.02956
0.755,-0.03316,-0.07529,-0.03628
0.765,-0.08936,-0.02703,-0.03384
0.776,-0.08936,-0.01237,-0.02834
0.786,-0.06920,-0.02092,0.00343
0.796,-0.02705,-0.05574,0.02786
0.806,0.01143,-0.11133,0.03886
0.817,0.04197,-0.16936,0.04191
0.827,0.06396,-0.20112,0.03153
0.837,0.06335,-0.20968,0.02236
0.847,0.04686,-0.19990,0.01076
0.857,0.02792,-0.18768,0.00709
0.868,0.01204,-0.16020,-0.00207
0.878,0.00532,-0.11682,-0.00329
0.888,-0.00201,-0.07712,-0.00085
0.898,-0.01423,-0.03802,0.00831
0.908,-0.01606,-0.01176,0.01381
0.918,-0.00201,-0.01176,0.01442
0.928,0.01754,-0.03130,0.01503
0.939,0.03953,-0.05696,0.01259
0.949,0.05602,-0.08811,0.01320
0.959,0.05053,-0.10400,0.01442
0.969,0.04136,-0.10644,0.01626
0.979,0.01021,-0.09056,0.01748
0.990,-0.01728,-0.05635,0.01870
1.000,-0.03561,-0.02703,0.01931
1.010,-0.04294,-0.03008,0.01381
1.020,-0.02950,-0.02886,0.00404
1.030,-0.02583,-0.03252,0.00404
1.040,-0.02950,-0.04413,0.00831
1.050,-0.04599,-0.04841,0.00709
1.061,-0.05576,-0.03375,0.00343
1.071,-0.05638,-0.00504,-0.00818
1.081,-0.05271,-0.00504,-0.01673
1.091,-0.03500,0.01329,-0.02040
1.101,-0.02095,0.01940,-0.01612
1.112,0.00227,0.01268,-0.00818
1.122,0.01571,-0.00870,-0.00818
1.132,0.02182,-0.01237,-0.00451
1.142,0.01143,-0.00870,-0.00024
1.152,-0.00934,-0.00259,0.00343
1.162,-0.02400,0.01573,0.00526
1.172,-0.01545,0.03284,-0.00390
1.183,-0.00690,0.04322,-0.01490
1.193,0.01265,0.03895,-0.02406
1.203,0.04686,0.02123,-0.02650
1.213,0.05419,0.00657,-0.02773
1.223,0.04808,-0.01481,-0.01551
1.234,0.03159,-0.01909,-0.00512
1.244,-0.00140,-0.02153,-0.00024
1.254,-0.03683,-0.00870,-0.00268
1.264,-0.07714,0.02062,-0.00696
1.274,-0.11563,0.05422,-0.00757
1.284,-0.13334,0.08720,-0.00207
1.295,-0.11991,0.10736,0.00221
1.305,-0.08203,0.11286,-0.01062
1.315,-0.02400,0.10187,-0.02101
1.325,0.01021,0.08720,-0.00940
1.335,0.03648,0.06949,0.01503
1.345,0.06274,0.03834,0.01809
1.356,0.08718,-0.04535,-0.02284
1.366,0.11283,-0.13637,-0.08698
1.376,0.13238,-0.15531,-0.12058
1.386,0.14216,-0.14187,-0.14685
1.397,0.13116,-0.15653,-0.18289
1.407,0.07863,-0.19135,-0.21648
1.418,0.00593,-0.19990,-0.25619
1.428,-0.08448,-0.19685,-0.30262
1.438,-0.22742,-0.20357,-0.35210
1.449,-0.37952,-0.18891,-0.39547
1.459,-0.44916,-0.17363,-0.41624
1.469,-0.46810,-0.12843,-0.42968
1.479,-0.42228,-0.09911,-0.39730
1.490,-0.33432,-0.08139,-0.33072
1.500,-0.21703,-0.12354,-0.25314
1.510,-0.07470,-0.17974,-0.17983
1.521,0.04197,-0.20662,-0.13341
1.531,0.12872,-0.21395,-0.09003
1.541,0.14826,-0.19868,-0.04911
1.551,0.12933,-0.16386,-0.02773
1.562,0.09634,-0.14370,-0.02223
1.572,0.05908,-0.17547,-0.03872
1.582,0.00960,-0.24144,-0.06988
1.593,-0.04294,-0.30925,-0.10653
1.603,-0.09791,-0.33796,-0.15051
1.613,-0.12296,-0.33735,-0.18166
1.623,-0.12907,-0.32024,-0.22870
1.634,-0.13457,-0.27687,-0.25986
1.644,-0.10524,-0.18402,-0.26780
1.654,-0.08692,-0.09483,-0.25436
1.665,-0.07592,-0.13882,-0.23481
1.675,-0.04599,-0.29764,-0.20610
1.685,0.00715,-0.51694,-0.17433
1.696,0.06335,-0.71425,-0.12608
1.706,0.12200,-0.80832,-0.06988
1.716,0.18553,-0.75762,-0.01979
1.726,0.25944,-0.59513,0.03336
1.737,0.37490,-0.23350,0.07062
1.747,0.46897,0.07438,0.06635
1.757,0.51295,0.26558,0.01687
1.767,0.49524,0.31933,-0.04789
1.778,0.41582,0.28146,-0.11997
1.788,0.29182,0.15868,-0.17922
1.798,0.12078,0.03284,-0.21099
1.809,-0.10830,0.03284,-0.21465
1.819,-0.26590,0.22404,-0.21587
1.829,-0.41679,0.55574,-0.22870
1.839,-0.54995,0.97540,-0.25130
1.850,-0.67152,1.36330,-0.25802
1.860,-0.76926,1.58016,-0.22137
1.871,-0.92747,1.66202,-0.09431
1.881,-1.12111,1.54045,0.03825
1.891,-1.33247,1.31871,0.18241
1.901,-1.52062,1.10246,0.31680
1.912,-1.60553,0.92653,0.39927
1.922,-1.58720,0.83613,0.44142
1.932,-1.45159,0.81230,0.48907
1.943,-1.22985,0.75122,0.58680
1.953,-1.06675,0.66142,0.69126
1.963,-0.96962,0.52581,0.77373
1.974,-0.96229,0.38958,0.81343
1.984,-1.02215,0.36270,0.80122
1.994,-1.07102,0.43784,0.74257
2.005,-1.10584,0.50443,0.65705
2.015,-1.08202,0.39875,0.62284
2.025,-1.03620,0.12019,0.67049
2.036,-1.02093,-0.28970,0.79511
2.047,-1.09851,-0.73807,0.94049
2.057,-1.08629,-0.53221,0.68271
2.067,-1.21030,-0.91400,0.30031
2.078,-1.17182,-1.49371,-0.31605
2.088,-1.01482,-1.50349,-0.99167
2.098,-0.94396,-1.60184,-1.08941
2.109,-0.84134,-1.84802,-0.70884
2.119,-0.76620,-2.03250,-0.33377
2.129,-0.67824,-2.23286,0.18974
2.140,-0.70450,-2.35381,0.61796
2.151,-0.90120,-1.68980,0.91117
2.161,-1.03620,-1.02762,0.91117
2.171,-1.12783,-0.79488,0.69676
2.182,-1.18892,-0.85292,0.43531
2.192,-1.24817,-0.82482,0.23922
2.202,-1.45098,-1.03434,0.12316
2.213,-1.49313,-1.31290,0.07062
2.223,-1.54200,-1.62933,-0.03139
2.233,-1.60919,-1.73806,-0.07171
2.244,-1.69655,-1.78937,-0.06010
2.255,-1.79001,-1.80892,0.04130
2.265,-1.82666,-1.75150,0.20929
2.276,-1.75519,-1.66842,0.24105
2.286,-1.61408,-1.52792,0.17936
2.296,-1.43449,-1.30618,0.07979
2.307,-1.19686,-1.22799,0.02420
2.317,-0.88471,-1.04412,0.08895
2.327,-0.51025,-0.52610,0.23739
2.338,-0.08692,0.21488,0.41637
2.348,0.34863,0.83551,0.59536
2.358,0.73042,1.26251,0.78778
2.369,1.03402,1.60520,1.02724
2.379,1.17696,1.72738,1.17873
2.389,1.26065,1.62781,1.28930
2.399,1.26065,1.37185,1.37604
2.410,1.15192,0.65714,1.43957
2.420,0.95766,0.24664,1.40231
2.430,0.74569,-0.26465,1.33084
2.441,0.47019,-0.81443,1.32901
2.451,0.21607,-1.08871,1.36871
2.462,0.03831,-1.11681,1.40842
2.472,-0.05149,-1.00075,1.40109
2.482,-0.03438,-0.84009,1.35100
2.493,0.04930,-0.69165,1.29968
2.503,0.23317,-0.49006,1.26059
2.513,0.43048,-0.29153,1.24837
2.523,0.69926,-0.06124,1.26914
2.534,0.87458,0.10614,1.30213
2.544,0.98332,0.31078,1.31740
2.554,1.03035,0.50504,1.30640
2.565,1.04868,0.74388,1.31007
2.575,1.00470,0.88194,1.35161
2.586,0.94117,0.88438,1.36810
2.596,0.79517,0.81352,1.32534
2.606,0.70293,0.73961,1.26303
2.617,0.53555,0.61255,1.08832
2.627,0.41399,0.60644,0.94172
2.637,0.29732,0.68707,0.76762
2.647,0.20813,0.80192,0.59536
2.658,0.18247,0.87889,0.49456
2.668,0.18675,0.89721,0.38705
2.678,0.20569,0.88133,0.28870
2.689,0.24478,0.84346,0.19646
2.699,0.30037,0.70784,0.11949
2.709,0.32297,0.59178,0.08467
2.720,0.33152,0.44212,0.07612
2.730,0.30403,0.33583,0.08895
2.740,0.25150,0.22770,0.10850
2.751,0.20996,0.19350,0.10422
2.761,0.17392,0.19716,0.06940
2.771,0.18919,0.24603,-0.00329
2.782,0.22951,0.26985,-0.04727
2.792,0.30281,0.27230,-0.09309
2.802,0.34802,0.29612,-0.10531
2.813,0.38833,0.29612,-0.09126
2.823,0.37062,0.29795,-0.04361
2.833,0.34802,0.31811,-0.01612
2.844,0.28937,0.33155,0.02969
2.854,0.24967,0.34194,0.05352
2.864,0.20019,0.37248,0.07734
2.874,0.19774,0.45556,0.08589
2.885,0.22951,0.46716,0.09933
2.895,0.26189,0.40547,0.11583
2.906,0.28021,0.27474,0.15675
2.916,0.26250,0.21182,0.18485
2.927,0.16781,0.44639,0.26488
2.937,0.16781,0.62354,0.34124
2.947,0.23317,0.59178,0.39927
2.958,0.27899,0.67119,0.43409
2.968,0.33030,0.63882,0.47257
2.979,0.39078,0.54474,0.51228
2.989,0.37612,0.44639,0.53977
3.000,0.33397,0.38470,0.56176
3.010,0.21790,0.26863,0.60941
3.020,0.10489,0.20755,0.65033
3.030,-0.00201,0.15990,0.66255
3.041,-0.13823,0.08843,0.64606
3.051,-0.24758,0.14524,0.56909
3.062,-0.29950,0.10675,0.54771
3.072,-0.34043,-0.08689,0.53610
3.082,-0.36670,-0.26404,0.49945
3.093,-0.37647,-0.36606,0.41393
3.103,-0.39174,-0.39599,0.29909
3.113,-0.38808,-0.38011,0.21906
3.123,-0.36486,-0.33368,0.14332
3.134,-0.34287,-0.28237,0.11461
3.144,-0.29217,-0.14187,0.10117
3.154,-0.25124,-0.01603,0.11705
3.165,-0.21215,0.09820,0.13599
3.175,-0.18099,0.17639,0.13599
3.185,-0.14678,0.19960,0.11155
3.196,-0.10708,0.19960,0.06390
3.206,-0.05515,0.17639,0.00893
3.216,-0.01789,0.13974,-0.03750
3.227,-0.03316,0.11103,-0.07904
3.237,-0.06920,0.10797,-0.10531
3.247,-0.09730,0.12569,-0.11080
3.258,-0.10830,0.14463,-0.09187
3.268,-0.10341,0.14951,-0.06255
3.279,-0.08264,0.14402,-0.01673
3.289,-0.05454,0.11347,0.00770
3.299,-0.03194,0.08049,0.01626
3.309,-0.00567,0.05483,0.01687
3.320,0.01693,0.01207,0.00770
3.330,0.02426,-0.00931,0.00159
3.340,0.01510,-0.00748,0.00526
3.351,0.00349,-0.01786,0.01198
3.361,-0.00690,-0.02275,0.03825
3.371,-0.01423,-0.02092,0.06085
3.382,-0.02095,-0.01909,0.07429
3.392,-0.02705,-0.01237,0.07123
3.405,-0.03988,0.00229,0.02847
3.415,-0.04905,0.01390,-0.01795
3.467,-0.01545,0.08354,-0.06316
3.477,-0.01789,0.10248,-0.04605
3.487,-0.01606,0.10920,-0.03017
3.497,-0.01606,0.08904,-0.01368
3.508,-0.02522,0.05605,-0.00085
3.518,-0.04782,-0.00381,0.00709
3.529,-0.09730,-0.09361,0.00098
3.539,-0.13884,-0.16508,-0.01490
3.549,-0.18771,-0.21701,-0.02895
3.559,-0.21764,-0.26771,-0.04727
3.571,-0.22681,-0.29275,-0.06927
3.581,-0.19932,-0.23961,-0.07965
3.591,-0.14129,-0.17608,-0.07110
3.602,-0.07409,-0.11255,-0.05583
3.612,-0.01361,-0.03069,-0.03689
3.623,0.03831,0.06155,-0.02650
3.633,0.06641,0.10981,-0.02284
3.643,0.07068,0.13363,-0.02528
3.654,0.04992,0.12569,-0.02956
3.664,-0.00323,0.07010,-0.04117
3.675,-0.06859,0.00229,-0.05522
3.685,-0.11258,-0.04352,-0.06621
3.695,-0.16144,-0.06918,-0.07415
3.706,-0.19749,-0.06307,-0.07721
3.716,-0.19382,-0.02642,-0.06438
3.727,-0.16877,-0.01420,-0.05583
3.737,-0.11135,-0.00381,-0.03750
3.747,-0.07165,0.01207,-0.03200
3.757,-0.05271,0.02367,-0.03567
3.768,-0.05149,0.02734,-0.04361
3.778,-0.07165,0.01879,-0.04972
3.788,-0.08448,-0.02764,-0.04605
3.799,-0.09730,-0.07467,-0.04117
3.809,-0.10341,-0.09850,-0.03200
