time,X_value,Y_value,Z_value
0.000,0.29071,0.34257,0.01805
0.010,0.31576,0.33952,0.01011
0.021,0.33714,0.34135,0.00339
0.031,0.33408,0.36884,0.00523
0.041,0.30598,0.38717,0.00400
0.052,0.30965,0.36823,-0.00149
0.062,0.36035,0.34319,-0.02104
0.072,0.40250,0.36090,-0.03020
0.083,0.43671,0.42015,-0.03387
0.093,0.43671,0.47513,-0.03509
0.103,0.44037,0.51728,-0.03020
0.114,0.46359,0.54538,-0.02654
0.124,0.50329,0.56310,-0.02165
0.134,0.54056,0.56859,-0.02104
0.145,0.57599,0.58020,-0.02471
0.156,0.59370,0.61380,-0.03082
0.166,0.61447,0.63884,-0.03509
0.177,0.63402,0.64862,-0.04792
0.187,0.64074,0.65534,-0.05708
0.197,0.64196,0.66817,-0.06686
0.208,0.64623,0.68038,-0.07358
0.218,0.65662,0.68771,-0.08274
0.228,0.66823,0.69443,-0.09496
0.239,0.67495,0.70909,-0.10717
0.249,0.69572,0.72864,-0.10962
0.259,0.70732,0.74025,-0.11023
0.270,0.70427,0.75247,-0.11267
0.280,0.68777,0.74391,-0.11023
0.291,0.66945,0.73842,-0.11145
0.301,0.63829,0.74575,-0.12122
0.311,0.62669,0.76346,-0.14321
0.322,0.61814,0.77446,-0.16337
0.332,0.60714,0.77934,-0.17926
0.343,0.58148,0.75857,-0.18842
0.353,0.57171,0.73047,-0.19941
0.364,0.57293,0.71520,-0.21163
0.374,0.58393,0.70360,-0.22690
0.384,0.59004,0.69382,-0.24951
0.395,0.58393,0.66267,-0.26966
0.405,0.58393,0.63823,-0.28066
0.416,0.56743,0.57043,-0.30693
0.426,0.55216,0.51789,-0.33136
0.436,0.53872,0.46536,-0.35335
0.447,0.52040,0.40427,-0.38023
0.457,0.50268,0.35296,-0.39733
0.467,0.48497,0.29371,-0.40833
0.477,0.45748,0.25094,-0.41810
0.488,0.42816,0.22468,-0.42666
0.499,0.40800,0.19108,-0.42543
0.509,0.39395,0.15809,-0.41933
0.519,0.38967,0.11533,-0.40833
